plan_id,period_end,business_unit_id,region,currency_code,budget_revenue_usd_m,budget_ebitda_usd_m,budget_da_usd_m,budget_tax_rate,budget_capex_usd_m,budget_change_nwc_usd_m,budget_fcf_usd_m,budget_version
BP_202403_BU05_EU,2024-03-31,BU05,Europe,USD,68.74,22.51,2.37,0.2579,3.68,-0.09,13.73,FY2024 Annual Budget
BP_202403_BU05_LATAM,2024-03-31,BU05,Latin America,USD,34.46,11.14,1.18,0.2712,1.85,0.1,6.49,FY2024 Annual Budget
BP_202403_BU05_NA,2024-03-31,BU05,North America,USD,137.21,46.21,4.74,0.2485,7.35,0.0,28.55,FY2024 Annual Budget
BP_202404_BU01_APAC,2024-04-30,BU01,Asia Pacific,USD,175.53,55.34,8.43,0.2254,13.66,4.73,26.38,FY2024 Annual Budget
BP_202404_BU01_EU,2024-04-30,BU01,Europe,USD,129.21,39.09,6.56,0.2575,8.76,3.04,18.91,FY2024 Annual Budget
BP_202404_BU01_LATAM,2024-04-30,BU01,Latin America,USD,57.96,17.38,2.87,0.2712,3.93,1.5,8.01,FY2024 Annual Budget
BP_202404_BU01_NA,2024-04-30,BU01,North America,USD,215.11,65.59,10.87,0.2483,14.59,4.47,32.94,FY2024 Annual Budget
BP_202404_BU02_APAC,2024-04-30,BU02,Asia Pacific,USD,123.94,21.51,6.78,0.2253,8.15,-2.76,12.8,FY2024 Annual Budget
BP_202404_BU02_EU,2024-04-30,BU02,Europe,USD,136.36,21.61,7.61,0.2584,8.96,-4.84,13.87,FY2024 Annual Budget
BP_202404_BU02_LATAM,2024-04-30,BU02,Latin America,USD,63.61,9.81,3.53,0.272,4.18,-1.75,5.67,FY2024 Annual Budget
BP_202404_BU02_NA,2024-04-30,BU02,North America,USD,204.89,34.07,11.44,0.2473,13.47,-6.73,21.73,FY2024 Annual Budget
BP_202404_BU03_APAC,2024-04-30,BU03,Asia Pacific,USD,99.14,25.63,6.03,0.2254,8.17,-0.04,13.08,FY2024 Annual Budget
BP_202404_BU03_EU,2024-04-30,BU03,Europe,USD,118.45,28.67,7.44,0.2576,9.76,-0.9,14.34,FY2024 Annual Budget
BP_202404_BU03_LATAM,2024-04-30,BU03,Latin America,USD,38.81,9.34,2.39,0.2715,3.2,-0.06,4.31,FY2024 Annual Budget
BP_202404_BU03_NA,2024-04-30,BU03,North America,USD,224.93,56.65,14.06,0.2482,18.54,-1.17,28.71,FY2024 Annual Budget
BP_202404_BU04_APAC,2024-04-30,BU04,Asia Pacific,USD,134.99,24.79,8.97,0.2261,13.24,7.59,0.38,FY2024 Annual Budget
BP_202404_BU04_EU,2024-04-30,BU04,Europe,USD,157.1,27.42,11.77,0.2575,15.41,8.52,-0.54,FY2024 Annual Budget
BP_202404_BU04_LATAM,2024-04-30,BU04,Latin America,USD,55.95,9.52,3.73,0.2719,5.49,3.38,-0.92,FY2024 Annual Budget
BP_202404_BU04_NA,2024-04-30,BU04,North America,USD,201.93,36.73,13.76,0.2466,19.8,13.72,-2.45,FY2024 Annual Budget
BP_202404_BU05_APAC,2024-04-30,BU05,Asia Pacific,USD,106.49,35.76,3.6,0.2253,6.09,3.37,19.05,FY2024 Annual Budget
BP_202404_BU05_EU,2024-04-30,BU05,Europe,USD,68.29,22.07,2.36,0.2579,3.91,2.09,10.99,FY2024 Annual Budget
BP_202404_BU05_LATAM,2024-04-30,BU05,Latin America,USD,34.25,11.05,1.18,0.2712,1.96,1.21,5.2,FY2024 Annual Budget
BP_202404_BU05_NA,2024-04-30,BU05,North America,USD,136.34,45.06,4.73,0.2485,7.8,3.73,23.51,FY2024 Annual Budget
BP_202405_BU01_APAC,2024-05-31,BU01,Asia Pacific,USD,178.28,56.2,8.56,0.2254,13.95,-1.65,33.16,FY2024 Annual Budget
BP_202405_BU01_EU,2024-05-31,BU01,Europe,USD,130.8,39.74,6.64,0.2575,8.93,-1.63,23.92,FY2024 Annual Budget
BP_202405_BU01_LATAM,2024-05-31,BU01,Latin America,USD,58.69,17.84,2.9,0.2712,4.01,-0.78,10.56,FY2024 Annual Budget
BP_202405_BU01_NA,2024-05-31,BU01,North America,USD,217.79,67.6,11.01,0.2483,14.86,-2.28,40.97,FY2024 Annual Budget
BP_202405_BU02_APAC,2024-05-31,BU02,Asia Pacific,USD,131.32,23.11,6.83,0.2253,8.69,9.81,0.94,FY2024 Annual Budget
BP_202405_BU02_EU,2024-05-31,BU02,Europe,USD,144.4,23.53,7.67,0.2584,9.55,10.95,-1.07,FY2024 Annual Budget
BP_202405_BU02_LATAM,2024-05-31,BU02,Latin America,USD,67.39,11.06,3.55,0.272,4.46,5.43,-0.87,FY2024 Annual Budget
BP_202405_BU02_NA,2024-05-31,BU02,North America,USD,217.0,37.51,11.53,0.2473,14.35,15.36,1.38,FY2024 Annual Budget
BP_202405_BU03_APAC,2024-05-31,BU03,Asia Pacific,USD,98.68,25.25,6.08,0.2254,8.19,-0.52,13.26,FY2024 Annual Budget
BP_202405_BU03_EU,2024-05-31,BU03,Europe,USD,117.84,28.56,7.5,0.2576,9.77,-0.17,13.53,FY2024 Annual Budget
BP_202405_BU03_LATAM,2024-05-31,BU03,Latin America,USD,38.63,9.31,2.41,0.2715,3.2,-0.11,4.35,FY2024 Annual Budget
BP_202405_BU03_NA,2024-05-31,BU03,North America,USD,223.8,56.15,14.17,0.2482,18.56,0.12,27.05,FY2024 Annual Budget
BP_202405_BU04_APAC,2024-05-31,BU04,Asia Pacific,USD,136.78,25.39,9.03,0.2261,13.5,18.91,-10.72,FY2024 Annual Budget
BP_202405_BU04_EU,2024-05-31,BU04,Europe,USD,159.09,27.26,11.83,0.2575,15.7,23.98,-16.39,FY2024 Annual Budget
BP_202405_BU04_LATAM,2024-05-31,BU04,Latin America,USD,56.68,9.56,3.75,0.2719,5.59,8.66,-6.27,FY2024 Annual Budget
BP_202405_BU04_NA,2024-05-31,BU04,North America,USD,204.52,35.54,13.84,0.2466,20.19,29.36,-19.36,FY2024 Annual Budget
BP_202405_BU05_APAC,2024-05-31,BU05,Asia Pacific,USD,109.11,36.74,3.6,0.2253,7.41,-0.18,22.04,FY2024 Annual Budget
BP_202405_BU05_EU,2024-05-31,BU05,Europe,USD,69.93,22.48,2.37,0.2579,4.75,-0.13,12.67,FY2024 Annual Budget
BP_202405_BU05_LATAM,2024-05-31,BU05,Latin America,USD,35.09,11.525,1.18,0.2712,2.38,-0.07,6.27,FY2024 Annual Budget
BP_202405_BU05_NA,2024-05-31,BU05,North America,USD,139.64,45.93,4.74,0.2485,9.49,-0.19,26.39,FY2024 Annual Budget
BP_202406_BU01_APAC,2024-06-30,BU01,Asia Pacific,USD,188.39,60.11,8.69,0.2254,14.66,12.88,20.98,FY2024 Annual Budget
BP_202406_BU01_EU,2024-06-30,BU01,Europe,USD,137.76,42.29,6.72,0.2575,9.34,8.84,14.95,FY2024 Annual Budget
BP_202406_BU01_LATAM,2024-06-30,BU01,Latin America,USD,61.84,18.71,2.94,0.2712,4.19,4.36,5.88,FY2024 Annual Budget
BP_202406_BU01_NA,2024-06-30,BU01,North America,USD,229.41,70.82,11.15,0.2483,15.56,12.7,27.74,FY2024 Annual Budget
BP_202406_BU02_APAC,2024-06-30,BU02,Asia Pacific,USD,134.63,24.14,6.88,0.2253,8.85,7.64,3.76,FY2024 Annual Budget
BP_202406_BU02_EU,2024-06-30,BU02,Europe,USD,147.96,24.29,7.73,0.2584,9.73,7.61,2.67,FY2024 Annual Budget
BP_202406_BU02_LATAM,2024-06-30,BU02,Latin America,USD,69.08,11.15,3.58,0.272,4.54,3.93,0.62,FY2024 Annual Budget
BP_202406_BU02_NA,2024-06-30,BU02,North America,USD,222.39,36.63,11.61,0.2473,14.62,10.41,5.41,FY2024 Annual Budget
BP_202406_BU03_APAC,2024-06-30,BU03,Asia Pacific,USD,100.22,25.75,6.13,0.2254,8.26,-0.31,13.38,FY2024 Annual Budget
BP_202406_BU03_EU,2024-06-30,BU03,Europe,USD,119.61,29.71,7.56,0.2576,9.86,-1.26,15.4,FY2024 Annual Budget
BP_202406_BU03_LATAM,2024-06-30,BU03,Latin America,USD,39.22,9.32,2.43,0.2715,3.23,-0.29,4.51,FY2024 Annual Budget
BP_202406_BU03_NA,2024-06-30,BU03,North America,USD,227.2,56.28,14.28,0.2482,18.73,-2.71,29.84,FY2024 Annual Budget
BP_202406_BU04_APAC,2024-06-30,BU04,Asia Pacific,USD,138.58,25.62,9.08,0.2261,13.59,-2.1,10.39,FY2024 Annual Budget
BP_202406_BU04_EU,2024-06-30,BU04,Europe,USD,161.1,27.91,11.89,0.2575,15.8,-4.45,12.43,FY2024 Annual Budget
BP_202406_BU04_LATAM,2024-06-30,BU04,Latin America,USD,57.42,9.78,3.78,0.2719,5.63,-1.39,3.91,FY2024 Annual Budget
BP_202406_BU04_NA,2024-06-30,BU04,North America,USD,207.13,38.13,13.92,0.2466,20.31,-5.24,17.09,FY2024 Annual Budget
BP_202406_BU05_APAC,2024-06-30,BU05,Asia Pacific,USD,115.13,39.4,3.63,0.2253,8.81,7.5,15.03,FY2024 Annual Budget
BP_202406_BU05_EU,2024-06-30,BU05,Europe,USD,73.76,23.73,2.38,0.2579,5.64,4.61,7.97,FY2024 Annual Budget
BP_202406_BU05_LATAM,2024-06-30,BU05,Latin America,USD,37.02,12.0,1.19,0.2712,2.83,2.7,3.54,FY2024 Annual Budget
BP_202406_BU05_NA,2024-06-30,BU05,North America,USD,147.3,48.23,4.77,0.2485,11.27,8.12,18.04,FY2024 Annual Budget
BP_202407_BU01_APAC,2024-07-31,BU01,Asia Pacific,USD,178.34,55.93,8.74,0.2254,13.67,-10.74,42.36,FY2024 Annual Budget
BP_202407_BU01_EU,2024-07-31,BU01,Europe,USD,129.98,39.26,6.74,0.2575,8.66,-8.15,30.38,FY2024 Annual Budget
BP_202407_BU01_LATAM,2024-07-31,BU01,Latin America,USD,58.37,17.73,2.95,0.2712,3.89,-4.0,13.83,FY2024 Annual Budget
BP_202407_BU01_NA,2024-07-31,BU01,North America,USD,216.48,65.96,11.19,0.2483,14.42,-11.58,49.52,FY2024 Annual Budget
BP_202407_BU02_APAC,2024-07-31,BU02,Asia Pacific,USD,129.69,22.63,6.93,0.2253,8.37,0.5349999999999993,1.64,FY2024 Annual Budget
BP_202407_BU02_EU,2024-07-31,BU02,Europe,USD,142.45,23.13,7.78,0.2584,9.2,11.9,-1.94,FY2024 Annual Budget
BP_202407_BU02_LATAM,2024-07-31,BU02,Latin America,USD,66.53,10.41,3.61,0.272,4.3,5.59,-1.33,FY2024 Annual Budget
BP_202407_BU02_NA,2024-07-31,BU02,North America,USD,214.14,35.78,11.7,0.2473,13.83,17.5,-1.5,FY2024 Annual Budget
BP_202407_BU03_APAC,2024-07-31,BU03,Asia Pacific,USD,99.25,25.17,6.17,0.2254,8.04,0.98,11.87,FY2024 Annual Budget
BP_202407_BU03_EU,2024-07-31,BU03,Europe,USD,118.39,28.63,7.61,0.2576,9.59,1.8,11.83,FY2024 Annual Budget
BP_202407_BU03_LATAM,2024-07-31,BU03,Latin America,USD,38.84,9.33,2.44,0.2715,3.15,0.54,3.77,FY2024 Annual Budget
BP_202407_BU03_NA,2024-07-31,BU03,North America,USD,224.91,56.5,14.39,0.2482,18.21,3.79,24.05,FY2024 Annual Budget
BP_202407_BU04_APAC,2024-07-31,BU04,Asia Pacific,USD,129.8,23.23,9.13,0.2261,12.51,13.94,-6.41,FY2024 Annual Budget
BP_202407_BU04_EU,2024-07-31,BU04,Europe,USD,150.8,25.61,11.95,0.2575,14.53,20.17,-12.61,FY2024 Annual Budget
BP_202407_BU04_LATAM,2024-07-31,BU04,Latin America,USD,53.77,9.09,3.8,0.2719,5.18,7.08,-4.61,FY2024 Annual Budget
BP_202407_BU04_NA,2024-07-31,BU04,North America,USD,193.92,33.95,13.99,0.2466,18.68,24.54,-14.19,FY2024 Annual Budget
BP_202407_BU05_APAC,2024-07-31,BU05,Asia Pacific,USD,113.37,38.44,3.68,0.2253,7.89,-2.98,25.7,FY2024 Annual Budget
BP_202407_BU05_EU,2024-07-31,BU05,Europe,USD,72.59,23.57,2.41,0.2579,5.05,-1.84,14.9,FY2024 Annual Budget
BP_202407_BU05_LATAM,2024-07-31,BU05,Latin America,USD,36.45,11.95,1.21,0.2712,2.54,-1.07,7.57,FY2024 Annual Budget
BP_202407_BU05_NA,2024-07-31,BU05,North America,USD,145.0,47.74,4.84,0.2485,10.1,-3.17,30.15,FY2024 Annual Budget
BP_202408_BU01_APAC,2024-08-31,BU01,Asia Pacific,USD,181.13,56.69,8.72,0.2254,13.58,1.93,30.37,FY2024 Annual Budget
BP_202408_BU01_EU,2024-08-31,BU01,Europe,USD,131.57,39.67,6.7,0.2575,8.55,0.89,21.74,FY2024 Annual Budget
BP_202408_BU01_LATAM,2024-08-31,BU01,Latin America,USD,59.11,17.56,2.94,0.2712,3.84,0.48,9.28,FY2024 Annual Budget
BP_202408_BU01_NA,2024-08-31,BU01,North America,USD,219.17,67.2,11.12,0.2483,14.25,1.27,37.76,FY2024 Annual Budget
BP_202408_BU02_APAC,2024-08-31,BU02,Asia Pacific,USD,133.02,23.21,6.98,0.2253,8.38,-6.57,17.74,FY2024 Annual Budget
BP_202408_BU02_EU,2024-08-31,BU02,Europe,USD,146.03,24.29,7.84,0.2584,9.2,-8.98,19.82,FY2024 Annual Budget
BP_202408_BU02_LATAM,2024-08-31,BU02,Latin America,USD,68.23,10.94,3.63,0.272,4.3,-4.29,8.94,FY2024 Annual Budget
BP_202408_BU02_NA,2024-08-31,BU02,North America,USD,219.56,36.68,11.78,0.2473,13.83,-12.35,29.04,FY2024 Annual Budget
BP_202408_BU03_APAC,2024-08-31,BU03,Asia Pacific,USD,100.29,25.74,6.22,0.2254,7.92,-2.42,15.84,FY2024 Annual Budget
BP_202408_BU03_EU,2024-08-31,BU03,Europe,USD,119.57,29.1,7.67,0.2576,9.45,-3.43,17.56,FY2024 Annual Budget
BP_202408_BU03_LATAM,2024-08-31,BU03,Latin America,USD,39.24,9.54,2.46,0.2715,3.1,-1.1,5.62,FY2024 Annual Budget
BP_202408_BU03_NA,2024-08-31,BU03,North America,USD,227.19,56.99,14.5,0.2482,17.95,-6.37,34.86,FY2024 Annual Budget
BP_202408_BU04_APAC,2024-08-31,BU04,Asia Pacific,USD,128.92,23.52,9.17,0.2261,12.12,-25.75,33.91,FY2024 Annual Budget
BP_202408_BU04_EU,2024-08-31,BU04,Europe,USD,149.7,25.37,12.0,0.2575,14.07,-32.32,40.18,FY2024 Annual Budget
BP_202408_BU04_LATAM,2024-08-31,BU04,Latin America,USD,53.4,9.0,3.82,0.2719,5.02,-11.65,14.22,FY2024 Annual Budget
BP_202408_BU04_NA,2024-08-31,BU04,North America,USD,192.54,33.9,14.06,0.2466,18.1,-39.45,50.36,FY2024 Annual Budget
BP_202408_BU05_APAC,2024-08-31,BU05,Asia Pacific,USD,116.14,39.34,3.77,0.2253,7.93,2.53,20.87,FY2024 Annual Budget
BP_202408_BU05_EU,2024-08-31,BU05,Europe,USD,74.33,24.2,2.47,0.2579,5.08,1.54,11.98,FY2024 Annual Budget
BP_202408_BU05_LATAM,2024-08-31,BU05,Latin America,USD,37.33,12.29,1.23,0.2712,2.55,0.9,5.84,FY2024 Annual Budget
BP_202408_BU05_NA,2024-08-31,BU05,North America,USD,148.48,49.18,4.94,0.2485,10.14,2.73,25.32,FY2024 Annual Budget
BP_202409_BU01_APAC,2024-09-30,BU01,Asia Pacific,USD,199.3,64.42,8.7,0.2254,14.62,17.77,19.47,FY2024 Annual Budget
BP_202409_BU01_EU,2024-09-30,BU01,Europe,USD,144.29,44.28,6.67,0.2575,9.14,12.17,13.29,FY2024 Annual Budget
BP_202409_BU01_LATAM,2024-09-30,BU01,Latin America,USD,64.84,19.66,2.92,0.2712,4.11,6.02,4.99,FY2024 Annual Budget
BP_202409_BU01_NA,2024-09-30,BU01,North America,USD,240.39,73.9,11.06,0.2483,15.23,17.44,25.63,FY2024 Annual Budget
BP_202409_BU02_APAC,2024-09-30,BU02,Asia Pacific,USD,141.95,25.8,7.04,0.2253,8.72,10.35,2.5,FY2024 Annual Budget
BP_202409_BU02_EU,2024-09-30,BU02,Europe,USD,155.74,26.46,7.89,0.2584,9.57,9.63,2.46,FY2024 Annual Budget
BP_202409_BU02_LATAM,2024-09-30,BU02,Latin America,USD,72.79,12.16,3.66,0.272,4.47,4.93,0.45,FY2024 Annual Budget
BP_202409_BU02_NA,2024-09-30,BU02,North America,USD,234.19,40.86,11.86,0.2473,14.39,13.64,5.66,FY2024 Annual Budget
BP_202409_BU03_APAC,2024-09-30,BU03,Asia Pacific,USD,103.38,26.75,6.27,0.2254,7.96,4.5,9.67,FY2024 Annual Budget
BP_202409_BU03_EU,2024-09-30,BU03,Europe,USD,123.19,30.08,7.73,0.2576,9.49,4.73,10.1,FY2024 Annual Budget
BP_202409_BU03_LATAM,2024-09-30,BU03,Latin America,USD,40.44,9.73,2.48,0.2715,3.11,1.76,2.89,FY2024 Annual Budget
BP_202409_BU03_NA,2024-09-30,BU03,North America,USD,234.1,59.03,14.61,0.2482,18.03,8.22,21.75,FY2024 Annual Budget
BP_202409_BU04_APAC,2024-09-30,BU04,Asia Pacific,USD,141.38,26.37,9.22,0.2261,12.96,-5.07,14.6,FY2024 Annual Budget
BP_202409_BU04_EU,2024-09-30,BU04,Europe,USD,164.07,29.27,12.05,0.2575,15.04,-9.93,19.73,FY2024 Annual Budget
BP_202409_BU04_LATAM,2024-09-30,BU04,Latin America,USD,58.55,10.16,3.84,0.2719,5.37,-3.21,6.28,FY2024 Annual Budget
BP_202409_BU04_NA,2024-09-30,BU04,North America,USD,211.06,38.94,14.13,0.2466,19.34,-11.9,25.38,FY2024 Annual Budget
BP_202409_BU05_APAC,2024-09-30,BU05,Asia Pacific,USD,118.96,40.82,3.85,0.2253,8.68,4.69,19.12,FY2024 Annual Budget
BP_202409_BU05_EU,2024-09-30,BU05,Europe,USD,76.09,25.15,2.52,0.2579,5.55,2.84,10.92,FY2024 Annual Budget
BP_202409_BU05_LATAM,2024-09-30,BU05,Latin America,USD,38.23,12.52,1.26,0.2712,2.79,1.67,5.01,FY2024 Annual Budget
BP_202409_BU05_NA,2024-09-30,BU05,North America,USD,152.03,49.89,5.06,0.2485,11.09,5.0,22.66,FY2024 Annual Budget
BP_202410_BU01_APAC,2024-10-31,BU01,Asia Pacific,USD,196.58,63.19,8.68,0.2254,14.19,-3.22,39.93,FY2024 Annual Budget
BP_202410_BU01_EU,2024-10-31,BU01,Europe,USD,141.85,42.8,6.63,0.2575,8.82,-2.65,27.32,FY2024 Annual Budget
BP_202410_BU01_LATAM,2024-10-31,BU01,Latin America,USD,63.77,19.2,2.91,0.2712,3.97,-1.31,12.12,FY2024 Annual Budget
BP_202410_BU01_NA,2024-10-31,BU01,North America,USD,236.37,72.79,11.01,0.2483,14.7,-3.58,46.33,FY2024 Annual Budget
BP_202410_BU02_APAC,2024-10-31,BU02,Asia Pacific,USD,157.93,29.97,7.09,0.2253,9.52,28.68,-13.38,FY2024 Annual Budget
