project_id,project_name,business_unit_id,region,project_type,strategic_theme,initial_investment_usd_m,start_year,project_life_years,cash_flow_year_1_usd_m,cash_flow_year_2_usd_m,cash_flow_year_3_usd_m,cash_flow_year_4_usd_m,cash_flow_year_5_usd_m,risk_score,strategic_priority,status
P030,German Legacy Furnace Replacement,BU04,Europe,Infrastructure Modernization,Legacy asset renewal,88.0,2026,5,1.52,13.01,19.19,19.35,24.62,4,4,Proposed
P031,India Factory Heat Recovery Retrofit,BU04,Asia Pacific,Sustainability / Energy Efficiency,Industrial energy savings,46.0,2026,4,13.24,18.57,17.54,21.96,0.0,2,4,Proposed
P032,Mexico Aftermarket Parts Hub,BU04,Latin America,Market Expansion,Aftermarket growth,33.0,2026,4,0.41,5.33,8.85,15.75,0.0,3,3,Proposed
P033,US Real-Time Payment Routing Engine,BU05,North America,Product Innovation,Payment performance,112.0,2026,5,4.92,41.95,55.7,55.77,46.18,4,5,Proposed
P034,European Merchant Compliance Platform,BU05,Europe,Infrastructure Modernization,Merchant compliance,69.0,2026,5,8.02,20.05,21.25,20.14,22.24,2,5,Proposed
P035,Singapore Cross-Border Merchant APIs,BU05,Asia Pacific,Market Expansion,Cross-border commerce,76.0,2026,5,-1.31,14.55,28.91,40.09,51.62,4,4,Proposed
P036,Brazil Embedded Payments Launch,BU05,Latin America,Product Innovation,Merchant monetization,52.0,2026,4,1.5,13.38,19.85,23.43,0.0,5,3,Proposed
P037,North American Fraud Decision Engine,BU05,North America,Automation,Fraud prevention,40.0,2026,3,7.95,19.94,30.79,0.0,0.0,3,5,Proposed
P038,European Treasury Analytics Suite,BU05,Europe,Product Innovation,Treasury software,58.0,2026,5,0.24,12.94,20.54,20.99,22.0,4,3,Proposed
P039,India Merchant Onboarding Automation,BU05,Asia Pacific,Digital Transformation,Merchant acquisition,35.0,2026,3,4.02,23.46,32.16,0.0,0.0,3,4,Proposed
P040,Mexico Consumer Wallet Expansion,BU05,Latin America,Market Expansion,Consumer distribution,29.0,2026,4,-0.42,4.59,8.27,15.6,0.0,5,2,Proposed
